Warship ;Tier ;Type ;Nation ;Battles ;Win rate ;Avg. frags ;Avg. damage ;Avg. experience ;Avg. planes destroyed ;Kills / deaths
Yamagiri ;11;Destroyer ;Japan ;1 664 371 ;48.8 % ;0.73 ;51 043 ;1 698 ;1.25 ;1.21
Dresden ;2;Cruiser ;Germany ;1 659 447 ;49.26 % ;0.83 ;15 666 ;514;0 ;1.43
Alexander Nevsky ;10;Cruiser ;U.S.S.R. ;1 658 886 ;50.15 % ;0.68 ;71 204 ;1 784 ;3.5 ;1.32
Hsienyang ;8;Destroyer ;Pan-Asia ;1 650 907 ;50.89 % ;0.66 ;33 352 ;1 540 ;1.53 ;1.1
Prinz Eitel Friedrich ;6;Battleship ;Germany ;1 619 470 ;53.44 % ;0.91 ;46 894 ;1 382 ;3.17 ;1.56
V-25 ;2;Destroyer ;Germany ;1 614 085 ;48.18 % ;1.08 ;17 441 ;571;0 ;1.76
Minsk ;7;Destroyer ;U.S.S.R. ;1 601 831 ;51.34 % ;0.64 ;27 278 ;1 334 ;0.73 ;0.97
Preussen ;10;Battleship ;Germany ;1 592 143 ;49.15 % ;0.68 ;75 924 ;1 580 ;3.16 ;1.05
Sims ;7;Destroyer ;U.S.A. ;1 562 267 ;50.22 % ;0.59 ;22 840 ;1 396 ;1.19 ;0.95
Fushun ;6;Destroyer ;Pan-Asia ;1 557 006 ;52.76 % ;0.71 ;27 049 ;1 187 ;0.65 ;1.17
Slava ;10;Battleship ;U.S.S.R. ;1 550 731 ;50.97 % ;0.86 ;99 692 ;1 938 ;4.17 ;1.76
Benham ;9;Destroyer ;U.S.A. ;1 546 743 ;54.89 % ;0.94 ;49 444 ;1 824 ;0.96 ;1.88
Friesland ;9;Destroyer ;Europe ;1 528 633 ;50.71 % ;0.69 ;45 233 ;1 741 ;3.59 ;1.13
Forrest Sherman ;10;Destroyer ;U.S.A. ;1 513 451 ;48.67 % ;0.68 ;54 011 ;1 661 ;2.73 ;1.04
Weser ;6;Aircraft Carrier ;Germany ;1 507 953 ;49.58 % ;0.59 ;33 102 ;1 152 ;4.05 ;2.3
Roma ;8;Battleship ;Italy ;1 503 124 ;52.06 % ;0.76 ;59 588 ;1 601 ;2.78 ;1.37
Francesco Caracciolo ;7;Battleship ;Italy ;1 501 808 ;51.61 % ;0.78 ;53 119 ;1 474 ;2.92 ;1.43
Hermelin ;1;Cruiser ;Germany ;1 493 964 ;49.29 % ;1.36 ;10 310 ;597;0 ;3
Gnevny ;6;Destroyer ;U.S.S.R. ;1 476 408 ;50.45 % ;0.58 ;20 860 ;1 146 ;0.57 ;0.84
Molotov ;6;Cruiser ;U.S.S.R. ;1 465 990 ;51.19 % ;0.63 ;32 615 ;1 171 ;1.19 ;0.93
Shikishima ;10;Battleship ;Japan ;1 456 930 ;52.08 % ;0.87 ;100 712 ;1 882 ;3.39 ;1.64
Massachusetts B ;8;Battleship ;U.S.A. ;1 452 973 ;55.23 % ;0.94 ;68 408 ;1 772 ;5.78 ;1.57
Cristoforo Colombo ;10;Battleship ;Italy ;1 448 184 ;49.5 % ;0.79 ;90 762 ;1 814 ;2.76 ;1.4
Leningrad ;7;Destroyer ;U.S.S.R. ;1 431 792 ;51.93 % ;0.69 ;27 948 ;1 297 ;0.51 ;1.13
Minnesota ;9;Battleship ;U.S.A. ;1 425 758 ;49.61 % ;0.72 ;70 484 ;1 631 ;3.05 ;1.39
Lenin ;8;Battleship ;U.S.S.R. ;1 410 113 ;54.22 % ;0.92 ;65 582 ;1 807 ;4.54 ;1.57
Cachalot ;6;Submarine ;U.S.A. ;1 394 963 ;50.35 % ;0.46 ;18 805 ;1 003 ;0 ;0.75
Satsuma ;11;Battleship ;Japan ;1 394 481 ;49.38 % ;0.82 ;107 957 ;1 837 ;2.43 ;1.65
Albemarle ;8;Cruiser ;U.K. ;1 394 312 ;51.61 % ;0.65 ;46 496 ;1 569 ;4.25 ;1.09
Mainz ;8;Cruiser ;Germany ;1 392 873 ;52%;0.67 ;51 533 ;1 597 ;3.53 ;1.13
Arkansas Beta ;4;Battleship ;U.S.A. ;1 378 054 ;53.75 % ;1.04 ;38 222 ;880;0 ;1.92
Kléber ;10;Destroyer ;France ;1 376 585 ;52%;0.8 ;54 153 ;1 756 ;2.08 ;1.28
G-101 ;3;Destroyer ;Germany ;1 356 591 ;48.56 % ;0.77 ;16 814 ;556;0.01 ;1.06
Vittorio Veneto ;8;Battleship ;Italy ;1 346 081 ;50.85 % ;0.72 ;57 439 ;1 609 ;3.36 ;1.3
Devonshire ;6;Cruiser ;U.K. ;1 345 628 ;51.84 % ;0.66 ;32 315 ;1 222 ;3.35 ;0.99
Mogador ;9;Destroyer ;France ;1 343 081 ;52.29 % ;0.81 ;45 245 ;1 705 ;1.12 ;1.3
Jean Bart B ;9;Battleship ;France ;1 332 904 ;51.73 % ;0.84 ;82 141 ;1 820 ;3.88 ;1.35
ARP Myoko ;7;Cruiser ;Japan ;1 330 132 ;51.87 % ;0.71 ;36 152 ;1 188 ;1.63 ;1.12
Ishizuchi ;4;Battleship ;Japan ;1 322 182 ;52.99 % ;1.01 ;36 956 ;871;0.18 ;1.75
Visby ;5;Destroyer ;Europe ;1 321 899 ;50.66 % ;0.57 ;18 149 ;1 021 ;1.53 ;0.9
Bogatyr ;3;Cruiser ;U.S.S.R. ;1 308 066 ;50.19 % ;0.81 ;22 120 ;573;0 ;1.28
Chester ;2;Cruiser ;U.S.A. ;1 296 901 ;46.46 % ;0.55 ;11 976 ;469;0 ;0.87
Gallant ;6;Destroyer ;U.K. ;1 295 298 ;51.39 % ;0.71 ;23 787 ;1 137 ;0.02 ;1.14
Drake ;9;Cruiser ;U.K. ;1 285 475 ;52.24 % ;0.69 ;63 702 ;1 669 ;2.23 ;1.38
Gouden Leeuw ;10;Cruiser ;The Netherlands ;1 284 413 ;50.72 % ;0.7 ;74 519 ;1 843 ;5.62 ;1.16
Raimondo Montecuccoli ;5;Cruiser ;Italy ;1 280 689 ;51%;0.56 ;23 304 ;970;2.31 ;0.84
Chikuma ;2;Cruiser ;Japan ;1 279 487 ;48.72 % ;0.65 ;14 368 ;501;0 ;1.04
Caledon ;3;Cruiser ;U.K. ;1 275 145 ;49.15 % ;0.72 ;17 624 ;538;0.11 ;1.03
Jianwei ;5;Destroyer ;Pan-Asia ;1 275 020 ;50.71 % ;0.65 ;22 010 ;934;0.16 ;0.96
Kaga ;8;Aircraft Carrier ;Japan ;1 271 345 ;51.86 % ;0.84 ;65 798 ;1 698 ;3.53 ;3.43
Hood ;7;Battleship ;U.K. ;1 266 732 ;51.48 % ;0.8 ;50 427 ;1 383 ;2.9 ;1.47
Acasta ;5;Destroyer ;U.K. ;1 259 623 ;49.82 % ;0.6 ;17 396 ;909;0.22 ;0.88
Indianapolis ;7;Cruiser ;U.S.A. ;1 246 951 ;50.37 % ;0.6 ;33 376 ;1 267 ;1.59 ;0.9
Anshan ;6;Destroyer ;Pan-Asia ;1 234 331 ;51.81 % ;0.68 ;23 782 ;1 176 ;0.92 ;1.09
Yubari ;4;Cruiser ;Japan ;1 231 637 ;52.43 % ;0.87 ;25 377 ;852;2.93 ;1.33
Surrey ;7;Cruiser ;U.K. ;1 227 721 ;52.27 % ;0.69 ;41 710 ;1 444 ;2.69 ;1.2
Puerto Rico ;10;Cruiser ;U.S.A. ;1 225 354 ;50.56 % ;0.66 ;67 980 ;1 774 ;3.77 ;1.11
Podvoisky ;5;Destroyer ;U.S.S.R. ;1 221 198 ;49.12 % ;0.56 ;17 853 ;947;0.48 ;0.72
Lepanto ;9;Battleship ;Italy ;1 219 698 ;50.4 % ;0.72 ;70 528 ;1 662 ;2.49 ;1.3
Le Fantasque ;8;Destroyer ;France ;1 218 241 ;52.72 % ;0.79 ;35 722 ;1 675 ;1.61 ;1.22
Arizona ;6;Battleship ;U.S.A. ;1 204 568 ;54.54 % ;0.92 ;50 108 ;1 322 ;1.42 ;1.91
August von Parseval ;8;Aircraft Carrier ;Germany ;1 195 412 ;49.62 % ;0.76 ;54 558 ;1 583 ;4.53 ;3.02
Salmon ;8;Submarine ;U.S.A. ;1 185 720 ;51.59 % ;0.51 ;28 313 ;1 484 ;0 ;0.9
Annapolis ;11;Cruiser ;U.S.A. ;1 184 571 ;49.17 % ;0.86 ;78 985 ;1 944 ;4.05 ;1.44
Kidd ;8;Destroyer ;U.S.A. ;1 183 487 ;51.96 % ;0.66 ;29 688 ;1 615 ;4.09 ;1.23
T-61 ;6;Destroyer ;Germany ;1 174 671 ;57.06 % ;0.96 ;31 956 ;1 461 ;1 ;1.67
Sampson ;2;Destroyer ;U.S.A. ;1 139 683 ;45.64 % ;0.63 ;11 134 ;455;0 ;0.88
Black Swan ;1;Cruiser ;U.K. ;1 131 785 ;51.16 % ;1.33 ;8 176 ;579;0 ;2.68
Mackensen ;6;Battleship ;Germany ;1 131 530 ;52.64 % ;0.88 ;44 592 ;1 289 ;0.88 ;1.39
Friant ;3;Cruiser ;France ;1 126 745 ;48.77 % ;0.75 ;19 294 ;542;0.14 ;1.08
Kii ;8;Battleship ;Japan ;1 125 694 ;51.01 % ;0.73 ;57 031 ;1 536 ;3.85 ;1.31
ARP Haruna ;5;Battleship ;Japan ;1 123 664 ;52.26 % ;0.79 ;38 291 ;954;1.49 ;1.52
Odin ;8;Battleship ;Germany ;1 108 034 ;53.65 % ;0.85 ;61 800 ;1 678 ;4.97 ;1.32
Gremyashchy ;5;Destroyer ;U.S.S.R. ;1 087 425 ;54.61 % ;0.96 ;29 125 ;1 222 ;0.5 ;1.72
Balao ;10;Submarine ;U.S.A. ;1 085 354 ;49.48 % ;0.52 ;37 621 ;1 631 ;0 ;0.92
Black ;9;Destroyer ;U.S.A. ;1 081 125 ;53.4 % ;0.76 ;40 254 ;1 715 ;1.56 ;1.34
Mecklenburg ;10;Battleship ;Germany ;1 080 284 ;51.88 % ;0.87 ;96 509 ;1 895 ;4.26 ;1.56
Goliath ;10;Cruiser ;U.K. ;1 080 051 ;50.92 % ;0.73 ;79 920 ;1 820 ;3.45 ;1.46
Asashio B ;8;Destroyer ;Japan ;1 068 659 ;53.22 % ;0.84 ;55 007 ;1 717 ;0.09 ;1.72
ARP Haguro ;7;Cruiser ;Japan ;1 063 572 ;49.36 % ;0.59 ;31 761 ;1 037 ;1.22 ;0.87
Vauquelin ;7;Destroyer ;France ;1 052 333 ;52.65 % ;0.75 ;28 875 ;1 438 ;0.46 ;1.13
Guépard ;6;Destroyer ;France ;1 043 983 ;52.19 % ;0.71 ;25 208 ;1 208 ;0.54 ;1.05
Erie ;1;Cruiser ;U.S.A. ;1 031 452 ;49.06 % ;1.15 ;10 312 ;545;0 ;2.35
Rhein ;4;Aircraft Carrier ;Germany ;1 022 772 ;51.37 % ;0.66 ;27 242 ;712;4.44 ;2.37
Somers ;10;Destroyer ;U.S.A. ;1 019 018 ;55.28 % ;0.87 ;59 403 ;1 835 ;0.19 ;1.8
Campbeltown ;3;Destroyer ;U.K. ;1 016 951 ;52.94 % ;0.91 ;21 845 ;777;0.04 ;1.33
ARP Hiei ;5;Battleship ;Japan ;1 013 524 ;52.84 % ;0.8 ;39 575 ;986;1.63 ;1.52
Småland ;10;Destroyer ;Europe ;1 004 717 ;54.29 % ;0.84 ;45 918 ;1 900 ;4.99 ;1.54
Andrea Doria ;6;Battleship ;Italy ;979 594 ;50.02 % ;0.76 ;42 754 ;1 251 ;3.74 ;1.33
Orlan ;1;Cruiser ;U.S.S.R. ;968 712 ;48.85 % ;1.04 ;9 903 ;528;0 ;1.96
Haarlem ;8;Cruiser ;The Netherlands ;968 494 ;52.26 % ;0.59 ;45 953 ;1 626 ;5.54 ;1.02
Johan de Witt ;9;Cruiser ;The Netherlands ;967 009 ;52.29 % ;0.65 ;60 824 ;1 726 ;4.75 ;1.17
Shenyang ;4;Destroyer ;Pan-Asia ;954 027 ;52.32 % ;0.93 ;25 717 ;738;0.22 ;1.48
Hermes ;4;Aircraft Carrier ;U.K. ;949 311 ;52.19 % ;0.73 ;26 694 ;737;2.32 ;2.4
Duca d'Aosta ;6;Cruiser ;Italy ;944 280 ;51.78 % ;0.63 ;28 247 ;1 173 ;1.41 ;0.97
Audacious ;10;Aircraft Carrier ;U.K. ;938 622 ;48.84 % ;0.85 ;77 877 ;1 765 ;4.77 ;3.69
Emden ;2;Cruiser ;Germany ;937 291 ;53.4 % ;0.97 ;18 535 ;634;0 ;1.69
U-4501 ;10;Submarine ;Germany ;936 185 ;49%;0.5 ;36 236 ;1 604 ;0 ;1.03
Serov ;6;Aircraft Carrier ;U.S.S.R. ;932 531 ;50.97 % ;0.67 ;39 592 ;1 263 ;4.31 ;2.25
Lazo ;7;Cruiser ;U.S.S.R. ;924 574 ;50.32 % ;0.63 ;40 917 ;1 321 ;1.64 ;1.09
Marblehead ;5;Cruiser ;U.S.A. ;921 191 ;52.57 % ;0.69 ;27 330 ;1 027 ;0.31 ;0.98
Graf Zeppelin ;8;Aircraft Carrier ;Germany ;917 870 ;48.16 % ;0.68 ;51 238 ;1 533 ;4.2 ;2.31
Scharnhorst '43 ;7;Battleship ;Germany ;914 436 ;50.56 % ;0.72 ;42 999 ;1 332 ;2.86 ;1.13
Admiral Nakhimov ;10;Aircraft Carrier ;U.S.S.R. ;901 895 ;49.15 % ;0.83 ;91 051 ;1 783 ;6.17 ;2.45
Mutsu ;6;Battleship ;Japan ;898 825 ;52.92 % ;0.87 ;50 241 ;1 364 ;1.35 ;1.54
St. Vincent ;10;Battleship ;U.K. ;897 656 ;52.79 % ;0.9 ;98 689 ;1 944 ;4.22 ;1.56
Tirpitz B ;8;Battleship ;Germany ;888 063 ;50.98 % ;0.72 ;56 371 ;1 597 ;2.92 ;1.07
Jinan ;10;Cruiser ;Pan-Asia ;887 426 ;48.46 % ;0.74 ;62 618 ;1 690 ;4.9 ;1.2
De Grasse ;6;Cruiser ;France ;877 191 ;52.78 % ;0.68 ;33 031 ;1 189 ;1.71 ;1.05
Hawkins ;5;Cruiser ;U.K. ;876 009 ;49.78 % ;0.48 ;20 801 ;905;2.17 ;0.69
Eendracht ;7;Cruiser ;The Netherlands ;875 044 ;51.18 % ;0.62 ;37 499 ;1 407 ;3.21 ;0.96
Groningen ;9;Destroyer ;The Netherlands ;873 985 ;50.23 % ;0.65 ;44 331 ;1 678 ;3.87 ;1.03
Alaska B ;9;Cruiser ;U.S.A. ;865 316 ;52.91 % ;0.7 ;61 581 ;1 697 ;2.95 ;1.16
Charleston ;3;Cruiser ;U.S.A. ;862 221 ;52.5 % ;1.08 ;27 219 ;753;0.04 ;1.99
Colbert ;10;Cruiser ;France ;855 195 ;51.02 % ;0.83 ;71 950 ;1 862 ;4.21 ;1.47
Iwami ;9;Battleship ;Japan ;847 513 ;49.27 % ;0.65 ;65 248 ;1 511 ;2.52 ;1.16
Storozhevoi ;2;Destroyer ;U.S.S.R. ;846 675 ;47.13 % ;0.69 ;11 141 ;446;0 ;0.98
Gorizia ;7;Cruiser ;Italy ;839 421 ;52.38 % ;0.72 ;41 527 ;1 540 ;1.16 ;1.32
Felix Schultz ;9;Destroyer ;Germany ;826 180 ;49.04 % ;0.66 ;44 654 ;1 610 ;2.06 ;1.06
Perth ;6;Cruiser ;Commonwealth ;817 413 ;54.11 % ;0.75 ;32 910 ;1 264 ;1.59 ;1.29
Pobeda ;8;Aircraft Carrier ;U.S.S.R. ;817 020 ;50.13 % ;0.76 ;60 846 ;1 646 ;4.8 ;2.58
Kearsarge ;9;Battleship ;U.S.A. ;813 549 ;50.76 % ;0.74 ;72 791 ;1 632 ;2.68 ;1.52
Elbing ;10;Destroyer ;Germany ;798 207 ;48.54 % ;0.71 ;59 458 ;1 699 ;3.1 ;1.16
Max Immelmann ;10;Aircraft Carrier ;Germany ;796 091 ;48.63 % ;0.74 ;84 778 ;1 685 ;4.67 ;2.78
Jaguar ;5;Destroyer ;France ;794 031 ;51.12 % ;0.7 ;22 116 ;993;0.21 ;1.03
Hannover ;11;Battleship ;Germany ;793 717 ;49.15 % ;0.71 ;88 302 ;1 722 ;3.58 ;1.01
Z-31 ;7;Destroyer ;Germany ;790 129 ;50.98 % ;0.6 ;26 055 ;1 366 ;1.18 ;1.01
Kirov ;5;Cruiser ;U.S.S.R. ;786 018 ;52.39 % ;0.63 ;29 228 ;984;0.75 ;0.9
Flint ;7;Cruiser ;U.S.A. ;781 770 ;54.38 % ;0.83 ;41 515 ;1 556 ;3.98 ;1.36
Bellerophon ;3;Battleship ;U.K. ;774 591 ;49.65 % ;0.91 ;29 390 ;596;0.2 ;1.74
Undine ;6;Submarine ;U.K. ;774 218 ;50.59 % ;0.48 ;19 765 ;1 039 ;0 ;0.78
Conte di Cavour ;5;Battleship ;Italy ;771 181 ;49.03 % ;0.79 ;38 456 ;1 034 ;1.3 ;1.34
Condé ;11;Cruiser ;France ;770 082 ;49.77 % ;0.92 ;91 772 ;1 987 ;2.74 ;1.76
Okhotnik ;5;Destroyer ;U.S.S.R. ;757 726 ;53.63 % ;0.89 ;25 434 ;1 111 ;0.09 ;1.26
Kamikaze ;5;Destroyer ;Japan ;749 488 ;60.68 % ;1.32 ;39 130 ;1 442 ;0.01 ;2.7
Cherbourg ;8;Cruiser ;France ;749 437 ;52.91 % ;0.67 ;48 033 ;1 594 ;3.73 ;1.05
Gustav-Julius Maerker ;8;Destroyer ;Germany ;748 496 ;48.41 % ;0.6 ;32 696 ;1 505 ;1.25 ;0.92
Kotovsky ;5;Cruiser ;U.S.S.R. ;736 457 ;49.36 % ;0.49 ;21 461 ;898;0.87 ;0.66
Z-39 ;7;Destroyer ;Germany ;734 022 ;53.98 % ;0.76 ;29 697 ;1 451 ;1.24 ;1.37
Z-44 ;9;Destroyer ;Germany ;728 953 ;47.75 % ;0.58 ;35 478 ;1 465 ;1.07 ;0.98
HSF Harekaze ;8;Destroyer ;Japan ;727 514 ;50.65 % ;0.66 ;30 004 ;1 484 ;0.94 ;1.05
Fujin ;5;Destroyer ;Japan ;720 385 ;59.38 % ;1.24 ;36 540 ;1 364 ;0.01 ;2.44
Derfflinger ;5;Battleship ;Germany ;719 324 ;50.77 % ;0.77 ;36 711 ;1 036 ;0.75 ;1.27
Jäger ;9;Destroyer ;Europe ;708 237 ;52.24 % ;0.74 ;44 795 ;1 701 ;0.19 ;1.51
Irian ;8;Cruiser ;Pan-Asia ;706 070 ;50.98 % ;0.68 ;49 366 ;1 571 ;3.27 ;1.11
Gascogne ;8;Battleship ;France ;704 595 ;50.52 % ;0.74 ;58 870 ;1 540 ;2.68 ;1.39
Malta ;10;Aircraft Carrier ;U.K. ;702 495 ;48.88 % ;0.83 ;85 129 ;1 742 ;4.7 ;2.5
Manfred von Richthofen ;10;Aircraft Carrier ;Germany ;700 345 ;48.74 % ;0.81 ;79 601 ;1 708 ;5.36 ;3.48
Neustrashimy ;9;Destroyer ;U.S.S.R. ;695 316 ;52.9 % ;0.79 ;40 777 ;1 713 ;2.13 ;1.57
Courbet ;4;Battleship ;France ;684 653 ;49.04 % ;0.9 ;34 455 ;715;1.11 ;1.67
Patrie ;11;Battleship ;France ;681 574 ;50.21 % ;0.92 ;111 927 ;2 038 ;3.31 ;1.64
Hashidate ;1;Cruiser ;Japan ;680 608 ;50.21 % ;1.27 ;11 317 ;572;0 ;2.61
Rooke ;7;Battleship ;U.K. ;677 251 ;52.4 % ;0.9 ;57 950 ;1 577 ;3.65 ;1.44
ARP Kirishima ;5;Battleship ;Japan ;669 516 ;52.98 % ;0.8 ;39 352 ;977;1.49 ;1.54
Brest ;9;Cruiser ;France ;650 597 ;52.87 % ;0.69 ;62 691 ;1 715 ;3.27 ;1.08
Sejong ;9;Cruiser ;Pan-Asia ;647 500 ;50.12 % ;0.66 ;51 062 ;1 605 ;4.28 ;1.09
Marco Polo ;9;Battleship ;Italy ;646 613 ;49.11 % ;0.64 ;68 208 ;1 586 ;2.04 ;1.11
Huanghe ;6;Cruiser ;Pan-Asia ;644 658 ;52.37 % ;0.67 ;29 367 ;1 258 ;3.92 ;1.08
Duncan ;9;Battleship ;U.K. ;643 387 ;52.54 % ;0.81 ;77 756 ;1 813 ;3.59 ;1.39
Bayard ;8;Cruiser ;France ;635 038 ;54.08 % ;0.81 ;55 463 ;1 732 ;3.38 ;1.43
Chumphon ;7;Cruiser ;Pan-Asia ;630 320 ;50.11 % ;0.6 ;31 573 ;1 340 ;3.79 ;0.9
Kijkduin ;6;Cruiser ;The Netherlands ;625 613 ;51.16 % ;0.58 ;28 940 ;1 183 ;3.63 ;0.9
Brandenburg ;8;Battleship ;Germany ;609 024 ;52.2 % ;0.85 ;60 515 ;1 661 ;4.53 ;1.27
Enterprise ;8;Aircraft Carrier ;U.S.A. ;596 516 ;53.76 % ;0.94 ;61 047 ;1 857 ;6.29 ;4.79
Vampire II ;10;Destroyer ;Commonwealth ;595 592 ;52.36 % ;0.8 ;49 908 ;1 805 ;1.66 ;1.29
Hayate ;10;Destroyer ;Japan ;588 653 ;49.26 % ;0.71 ;44 136 ;1 594 ;1.52 ;1.12
Gangut ;4;Battleship ;U.S.S.R. ;582 311 ;50.58 % ;1.15 ;40 390 ;824;1.03 ;2.17
Incomparable ;10;Battleship ;U.K. ;581 738 ;51.86 % ;0.93 ;92 478 ;1 881 ;3.43 ;1.52
Marseille ;10;Cruiser ;France ;581 308 ;52.31 % ;0.81 ;80 304 ;1 902 ;3.96 ;1.33
Imperator Nikolai I ;4;Battleship ;U.S.S.R. ;577 064 ;60.8 % ;1.35 ;49 145 ;1 029 ;0.07 ;2.73
Hawke ;8;Battleship ;U.K. ;575 834 ;51.52 % ;0.85 ;64 836 ;1 748 ;5 ;1.39
Vanguard ;8;Battleship ;U.K. ;563 574 ;50.47 % ;0.7 ;58 613 ;1 592 ;3.81 ;1.36
Harbin ;8;Cruiser ;Pan-Asia ;556 444 ;50.15 % ;0.64 ;40 177 ;1 543 ;4.27 ;0.99
Siegfried ;9;Cruiser ;Germany ;542 820 ;54.72 % ;0.78 ;68 630 ;1 737 ;2.76 ;1.34
Wakeful ;4;Destroyer ;U.K. ;536 282 ;49.79 % ;0.86 ;21 284 ;716;0.22 ;1.3
Tromp ;10;Destroyer ;The Netherlands ;529 527 ;48.97 % ;0.67 ;49 552 ;1 656 ;2.22 ;1.12
Ashitaka ;7;Battleship ;Japan ;520 167 ;50.61 % ;0.78 ;53 956 ;1 332 ;0.62 ;1.41
Exeter ;5;Cruiser ;U.K. ;512 264 ;54.51 % ;0.73 ;28 961 ;1 150 ;3.03 ;1.16
Ragnar ;10;Destroyer ;Europe ;511 229 ;54.6 % ;0.84 ;61 239 ;1 951 ;4.82 ;1.64
Wisconsin ;10;Battleship ;U.S.A. ;506 262 ;50.35 % ;0.9 ;96 619 ;1 861 ;4.11 ;1.64
Franklin D. Roosevelt ;10;Aircraft Carrier ;U.S.A. ;496 217 ;50.31 % ;0.78 ;91 612 ;1 745 ;4.43 ;2.75
Sturdy ;8;Submarine ;U.K. ;494 384 ;50.08 % ;0.42 ;24 139 ;1 412 ;0 ;0.65
Atago B ;8;Cruiser ;Japan ;483 858 ;52.77 % ;0.71 ;48 017 ;1 662 ;2.38 ;1.36
Weymouth ;2;Cruiser ;U.K. ;483 400 ;47.95 % ;0.7 ;15 212 ;491;0 ;1.22
United States ;11;Aircraft Carrier ;U.S.A. ;480 178 ;47.88 % ;0.95 ;106 212 ;1 909 ;5.31 ;2.65
Ark Royal ;6;Aircraft Carrier ;U.K. ;478 991 ;52.89 % ;0.78 ;38 815 ;1 358 ;4.18 ;2.62
Rahmat ;6;Cruiser ;Pan-Asia ;472 641 ;50.39 % ;0.6 ;26 453 ;1 134 ;3.49 ;0.89
Edgar ;11;Cruiser ;U.K. ;463 311 ;48.16 % ;0.83 ;74 349 ;1 937 ;5.28 ;1.44
W. Virginia '41 ;6;Battleship ;U.S.A. ;455 940 ;54.82 % ;0.94 ;55 229 ;1 422 ;1.8 ;1.77
Saipan ;8;Aircraft Carrier ;U.S.A. ;446 679 ;49.58 % ;0.78 ;58 231 ;1 638 ;4.15 ;3.91
Austin ;10;Cruiser ;U.S.A. ;445 017 ;51.26 % ;0.87 ;66 212 ;1 873 ;5.6 ;1.49
Yudachi ;7;Destroyer ;Japan ;441 937 ;52.46 % ;0.7 ;32 933 ;1 478 ;0.15 ;1.34
Tachibana ;2;Destroyer ;Japan ;439 262 ;52.58 % ;1.2 ;19 119 ;748;0 ;2
Chkalov ;8;Aircraft Carrier ;U.S.S.R. ;435 981 ;52.38 % ;0.89 ;64 730 ;1 779 ;5.79 ;3.14
Vampire ;3;Destroyer ;Commonwealth ;435 489 ;57.86 % ;1.18 ;25 285 ;858;0.33 ;2.1
Dalarna ;11;Destroyer ;Europe ;435 333 ;49.57 % ;0.76 ;51 597 ;1 936 ;5.63 ;1.31
HSF Admiral Graf Spee ;6;Cruiser ;Germany ;428 149 ;53.89 % ;0.66 ;32 077 ;1 128 ;1.57 ;1.09
Southern Dragon ;7;Cruiser ;Japan ;427 286 ;50.76 % ;0.66 ;36 585 ;1 190 ;1.43 ;1.02
Le Terrible ;8;Destroyer ;France ;427 218 ;50.69 % ;0.71 ;32 943 ;1 556 ;0.37 ;1.1
Renown ;6;Battleship ;U.K. ;425 120 ;49.71 % ;0.75 ;41 584 ;1 242 ;3.99 ;1.14
Marlborough ;9;Battleship ;U.K. ;415 933 ;49.14 % ;0.67 ;73 068 ;1 667 ;2.18 ;1.24
Shimanto ;8;Cruiser ;Japan ;414 531 ;50.98 % ;0.65 ;43 132 ;1 555 ;5.08 ;1.06
Scharnhorst B ;7;Battleship ;Germany ;410 688 ;52.85 % ;0.83 ;51 892 ;1 592 ;2.8 ;1.3
ARP Ashigara ;7;Cruiser ;Japan ;410 197 ;49.92 % ;0.61 ;33 627 ;1 083 ;1.25 ;0.92
Novik ;2;Cruiser ;U.S.S.R. ;406 241 ;46.2 % ;0.7 ;14 212 ;489;0 ;1.17
Thrasher ;10;Submarine ;U.K. ;401 913 ;48.21 % ;0.48 ;35 337 ;1 562 ;0 ;0.73
Hizen ;9;Battleship ;Japan ;398 925 ;49.28 % ;0.69 ;70 106 ;1 606 ;1.54 ;1.26
Mikoyan ;5;Cruiser ;U.S.S.R. ;398 014 ;50.73 % ;0.52 ;22 686 ;955;0.99 ;0.7
Takahashi ;9;Cruiser ;Japan ;396 684 ;51.41 % ;0.63 ;50 328 ;1 619 ;4.25 ;1.21
Carnot ;9;Cruiser ;France ;393 794 ;51.25 % ;0.63 ;60 262 ;1 593 ;2.71 ;1.1
Celebes ;5;Cruiser ;The Netherlands ;391 324 ;51.32 % ;0.61 ;26 282 ;986;1.44 ;0.93
Duca degli Abruzzi ;7;Cruiser ;Italy ;390 388 ;51.77 % ;0.68 ;36 012 ;1 367 ;1.18 ;1.28
Genova ;5;Cruiser ;Italy ;387 420 ;51.38 % ;0.61 ;25 504 ;1 068 ;1.29 ;0.85
Repulse ;6;Battleship ;U.K. ;386 328 ;52.13 % ;0.86 ;50 570 ;1 379 ;1.54 ;1.48
Omono ;7;Cruiser ;Japan ;385 038 ;50.17 % ;0.64 ;35 255 ;1 334 ;2.76 ;0.98
Gato ;10;Submarine ;U.S.A. ;384 132 ;50.75 % ;0.66 ;43 133 ;1 800 ;0 ;1.07
Clausewitz ;11;Cruiser ;Germany ;383 936 ;48.2 % ;0.74 ;89 142 ;1 865 ;3.18 ;1.5
Paolo Emilio ;9;Destroyer ;Italy ;382 785 ;51.4 % ;0.88 ;44 689 ;1 600 ;0.59 ;1.12
Albany ;2;Cruiser ;U.S.A. ;378 491 ;51.55 % ;0.83 ;15 532 ;614;0 ;1.27
Alberto di Giussano ;4;Cruiser ;Italy ;377 756 ;49.15 % ;0.8 ;23 351 ;740;3.09 ;1.18
