Destillerie:;Region:;Distrikt:;Hersteller:;Version:;Punkte:;Buch vom:;Adresse:;Telefon;Website;E-Mail
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich 16-year-old Bourbon/d´Yquem 46%;66;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich 16-year-old Bourbon/Lafite 46%;82;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich 18-year-old 46%;77;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich 20-year-old 46%;82;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich 21-year-old 46%;80;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich 35-year-old Legacy Series 40,7%;79;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich 40-year-old 40%;90;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich Waves 46%;86;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich Peat 46%;83;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich 3D Third Dimension 46%;83;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich Laddie 2001 46%;71;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich Infinity 52,5%;89;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich Yellow Submarine 46%;70;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich Redder Still 50,4%;87;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich Blacker Still 50,7%;92;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich Port Charlotte PC6 61%;89;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich Port Charlotte PC7 60,7%;90;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bruichladdich;Islay;Loch Indaal;The Bruichladdich Distillers;Bruichladdich Octomore 63,5%;93;M. J. 2010;Bruichladdich, Islay, Argyll, PA46 7UN;0044/1496-85 02 21;www.bruichladdich.com;laddie@bruichladdich.com
Bunnahabhain;Islay;Nordküste;united Distillers;Bunnahabhain 12-year-old 40%;77;M.J. 1994;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;
Bunnahabhain;Islay;Nordküste;Highland Distillers;Bunnahabhain 1968 40% Family Silver;79;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;
Bunnahabhain;Islay;Nordküste;Highland Distillers;Bunnahabhain 1963 43%;80;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;
Bunnahabhain;Islay;Nordküste;Highland Distillers;Bunnahabhain 1988 40% Gordon & MacPhail;77;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;
Bunnahabhain;Islay;Nordküste;Highland Distillers;Bunnahabhain 1980 43% Signatory;76;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;
Bunnahabhain;Islay;Nordküste;Highland Distillers;Bunnahabhain 1977 55,6% Signatory;78;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;
Bunnahabhain;Islay;Nordküste;Highland Distillers;Bunnahabhain 1979 46% Murray McDavid;76;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain 12-year-old 43%;77;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain 14-year-old 52,6%;79;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain 18-year-old 43%;82;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain 21-year-old 1986 vintage 46,7%;83;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain 25-year-old 43%;84;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain 34-year-old 1968 43,5%;78;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain 40-year-old 1963 42,9%;83;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain Auld Acquaintance Hogmany Edition 1968 Bottle 1 of 2000 43,8%;86;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain Darach Ur 46,3%;82;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain 28-year-old Distilled 1979 Bottled 2008 Cask No 18831 The Single Malts of Scotland 46%;82;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain 31-year-old Distilled 1976 Bottled 2008 Cask No 6223 Dewar Rattray 49,1%;79;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Bunnahabhain;Islay;Nordküste;Burn Stewart;Bunnahabhain 38-year-old Distilled 1970 Bottled 2008 Cask No 4075 Duncan Taylor 40,2%;82;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RP;0044/14 96-84 06 46;www.blackbottle.com;enquieries@burnstewatdistillers.com
Caol Ila;Islay;Nordküste;United Distillers;Caol Ila 12-year-old 40% Bulloch Lade;77;M.J. 1994;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;United Distillers;Caol Ila 15-year-old 43% Flora und Fauna;80;M.J. 1994;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;United Distillers;Caol Ila 1980 40% Connoisseurs Choice;78;M.J. 1994;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;United Distillers;Caol Ila 16-year-old 60,2% Cadenhead;79;M.J. 1994;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;United Distillers;Caol Ila 1978 Faßstärke Oddbins;78;M.J. 1994;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;United Distillers;Caol Ila 1974 61,1% Signatory;77;M.J. 1994;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 1981 63,8% ;82;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 20-year-old 57,9% Edition;85;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 20-year-old 61,3% Rare Malts;82;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 21-year-old 61,3% Rare Malts;82;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Scotch Malt Whisky Society1989 8-year-old 60,4% Fass 53.34Cadenhead;78;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 1989 8-year-old Cadenhead;78;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 1989 46%Murray McDavid;77;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 1981 62,7% Gordon & MacPhail;80;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 1981 40% Gordon & MacPhail;77;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 1982 43% Signatory;77;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 21-year-old 58,1% Adelphi;79;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 1974 46% Murray McDavid;81;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 1974 60,4% Signatory;80;M. J. 1999;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 12-year-old 43%;83;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila Cask Strength 55%;85;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 1995 Distillers Edition Double Matured Bottled 2007 43%;83;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 18-year-old 43%;86;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 25-year-old Cask Strength Distilled 1979 58,4%;84;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 8-year-old 64,2%;82;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 1981 Bottled 1997 Cask Strength Limited Bottling 63,8%;82;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 20-year-old Bottled 1996 57,86%;85;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 18-year-old  Scotch Malt Society 53.126 56,7%;84;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caol Ila;Islay;Nordküste;UDV (Diageo);Caol Ila 27-year-old Distilled 1981 Bottled 2008 Cask 2932 Duncan Taylor RareAuld Range 53,8%;83;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caol Ila;Islay;Nordküste;UDV (Diageo);CI Elements of Islay Speciality Drinks Co 60,8%;84;M. J. 2010;Port Askaig, Islay, Argyll, PA46 7RL;0044/14 96-84 02 07;www.discovering-distilleries.com;
Caperdonich;Highlands;Speyside;Seagram/Chivas;Caperdonich 1968 40% Connoisseurs Choice;73;M.J. 1994;Rothes, Morayshire, AB38 7BN;;;
Caperdonich;Highlands;Speyside;Seagram/Chivas;Caperdonich 14-year-old 60,5% Cadenhead;75;M.J. 1994;Rothes, Morayshire, AB38 7BN;;;
Caperdonich;Highlands;Speyside;Seagram/Chivas;Caperdonich 1977 57% Cadenhead;75;M. J. 1999;Rothes, Morayshire, AB38 7BN;;;
Caperdonich;Highlands;Speyside;Seagram/Chivas;Scotch Malt Society 31-year-old 48,8% Fass 38.6;75;M. J. 1999;Rothes, Morayshire, AB38 7BN;;;
Caperdonich;Highlands;Speyside;Seagram/Chivas;Caperdonich 1966 53,4% Signatory;76;M. J. 1999;Rothes, Morayshire, AB38 7BN;;;
Caperdonich;Highlands;Speyside;Seagram/Chivas;Caperdonich Aged 40 years Old Malt Cask 42,9%;79;M. J. 2010;Rothes, Morayshire, AB38 7BN;;;
Caperdonich;Highlands;Speyside;Seagram/Chivas;Caperdonich 11-year-old Provenance 46%;65;M. J. 2010;Rothes, Morayshire, AB38 7BN;;;
Cardhu;Highlands;Speyside;United Distillers;Cardhu 12-year-old 40%;72;M.J. 1994;Aberlour, Banffshire, AB38 7RY;0044/13 40-87 25 55;;
Cardhu;Highlands;Speyside;UDV (Diageo);Cardhu 25-year-old 60,5% Rare Malts;76;M. J. 1999;Aberlour, Banffshire, AB38 7RY;0044/13 40-87 25 55;;
Cardhu;Highlands;Speyside;UDV (Diageo);Cardhu Special Cask Reserve Batch No CSCR.07.06 40%;78;M. J. 2010;Aberlour, Banffshire, AB38 7RY;0044/13 40-87 25 55;www.discovering-distilleries.com;
Cardhu;Highlands;Speyside;UDV (Diageo);Cardhu Managers´ Choice Distilled 1997 Bottled 2009 58,3%;78;M. J. 2010;Aberlour, Banffshire, AB38 7RY;0044/13 40-87 25 55;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;United Distillers;Clynelish 14-year-old 43% Flora und Fauna;81;M.J. 1994;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;United Distillers;Brora 1972 40% Connoisseurs Choice;81;M.J. 1994;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;United Distillers;Clynelish 28-year-old (1965) 50,7% Signatory;82;M.J. 1994;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;United Distillers;Clynelish 11-year-old 66,7% Cadenhead;82;M.J. 1994;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;United Distillers;Clynelish Gordon MacPhail 57%;82;M.J. 1994;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;United Distillers;Clynelish 1972 Oddbins;80;M.J. 1994;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 1982 57,7% Rare Malts;81;M. J. 1999;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Brora 21-year-old 56,9% Rare Malts;85;M. J. 1999;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Brora 1975 Rare Malts;84;M. J. 1999;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 22-year-old 58,95% Rare Malts;82;M. J. 1999;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 9-year-old 61,6% Adelphi;80;M. J. 1999;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Brora 1982 40% Connoisseurs Choice;79;M. J. 1999;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 1983 43% Signatory;78;M. J. 1999;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 14-year-old Hidden Malts 46%;81;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 1991 15-year-old Distillers Edition 46%;81;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Brora 30-year-old 52,4%;94;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Brora 25-year-old Special Release 2008 56,3%;88;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Brora 30-year-old Special Release 2006 55,7%;90;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Brora 30-year-old Special Release 2005 56,3%;85;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 11-year-old Provenance 46%;64;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 1993 Bottled in 2008 Berry´s own Selection 46%;82;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 16-year-old Duncan Taylor N.C.2 46%;82;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 17-year-old Chieftains 46%;88;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Clynelish 34-year-old Single Malts of Scotland 50,5%;86;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Brora 1982 Connoisseurs Choice 43%;83;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
Clynelish;Highlands;Northern Highlands;UDV (Diageo);Brora 27-year-old Cask 1427 Duncan Taylor 53,8%;89;M. J. 2010;Brora, Sutherland, KW9 6LR;0044/14 08-62 30 00;www.discovering-distilleries.com;
An Cnoc;Highlands;Speyside;Knockdhu Distillery Company;An Cnoc 12-year-old 40%;75;M.J. 1994;Knock nahe Huntly, Aberdeenshire, AB5 5LJ;;www.inverhouse.com;enquiries@inverhouse.com
An Cnoc;Highlands;Speyside;Knockdhu Distillery Company;Knockdhu 1974 Connoisseurs Choice;75;M.J. 1994;Knock nahe Huntly, Aberdeenshire, AB5 5LJ;;www.inverhouse.com;enquiries@inverhouse.com
An Cnoc;Highlands;Speyside;Inver House;CNOC DHU/Knockdhu 21-year-old 57,5%;77;M. J. 1999;Knock nahe Huntly, Aberdeenshire, AB5 5LJ;;www.inverhouse.com;enquiries@inverhouse.com
An Cnoc;Highlands;Speyside;Inver House;Knockdhu 20-year-old 59,7% Adelphi;77;M. J. 1999;Knock nahe Huntly, Aberdeenshire, AB5 5LJ;;www.inverhouse.com;enquiries@inverhouse.com
Coleburn;Highlands;Speyside;United Distillers;Coleburn 1972 40% Connoisseurs Choice;66;M.J. 1994;Longmorn, Morayshire, IV38 8GN;;;
Coleburn;Highlands;Speyside;United Distillers;Coleburn 1965 Connoisseurs Choice;67;M.J. 1994;Longmorn, Morayshire, IV38 8GN;;;
Coleburn;Highlands;Speyside;United Distillers;Coleburn 1979 Whisky Society;69;M.J. 1994;Longmorn, Morayshire, IV38 8GN;;;
Coleburn;Highlands;Speyside;DCL/United Distillers;Coleburn 1983 43% Signatory;68;M. J. 1999;Longmorn, Morayshire, IV38 8GN;;;
Coleburn;Highlands;Speyside;DCL/United Distillers;Coleburn 1978 19-year-old 59,1% Cadenhead;67;M. J. 1999;Longmorn, Morayshire, IV38 8GN;;;
Coleburn;Highlands;Speyside;Diageo;Coleburn 1981 Connoisseurs Choice 43%;67;M. J. 2010;Longmorn, Morayshire, IV38 8GN;;;
Convalmore;Highlands;Speyside;William Grant & Sons;Convalmore 1969 40% Connoisseurs Choice;68;M.J. 1994;Dufftown, Banffshire, AB55 4BD;;;
Convalmore;Highlands;Speyside;William Grant & Sons;Convalmore 30-year-old 46,5% Cadenhead;75;M.J. 1994;Dufftown, Banffshire, AB55 4BD;;;
Convalmore;Highlands;Speyside;William Grant & Sons;Convalmore 1983 43% Signatory;70;M. J. 1999;Dufftown, Banffshire, AB55 4BD;;;
Convalmore;Highlands;Speyside;William Grant & Sons;Convalmore 1981 40% Connoisseurs Choice;67;M. J. 1999;Dufftown, Banffshire, AB55 4BD;;;
Convalmore;Highlands;Speyside;William Grant & Sons;Convalmore 1960 40% Gordon & MacPhail;70;M. J. 1999;Dufftown, Banffshire, AB55 4BD;;;
Convalmore;Highlands;Speyside;William Grant & Sons;Convalmore 1984 Connoisseurs Choice 43%;75;M. J. 2010;Dufftown, Banffshire, AB55 4BD;;;
Convalmore;Highlands;Speyside;William Grant & Sons;Convalmore 32-year-old Old Malt Cask 48%;83;M. J. 2010;Dufftown, Banffshire, AB55 4BD;;;
Cragganmore;Highlands;Speyside;United Distillers;Cragganmore 12-year-old 40% ;90;M.J. 1994;Ballindaloch, Banffshire, AB37 9AB;;;
Cragganmore;Highlands;Speyside;United Distillers;Cragganmore 1976 53,8% Gordon MacPhail;89;M.J. 1994;Ballindaloch, Banffshire, AB37 9AB;;;
Cragganmore;Highlands;Speyside;United Distillers;Cragganmore 1974 40% Connoisseurs Choice ;88;M.J. 1994;Ballindaloch, Banffshire, AB37 9AB;;;
Cragganmore;Highlands;Speyside;UDV (Diageo);Cragganmore 1984 Double Matured 40%;90;M. J. 1999;Ballindaloch, Banffshire, AB37 9AB;;;
Cragganmore;Highlands;Speyside;UDV (Diageo);Cragganmore 1976 40% Connoisseurs Choice;90;M. J. 1999;Ballindaloch, Banffshire, AB37 9AB;;;
Cragganmore;Highlands;Speyside;UDV (Diageo);Cragganmore Distillers Edition 40%;90;M. J. 2010;Ballindaloch, Banffshire, AB37 9AB;0044/1479-87 47 00 0;www.discovering-distilleries.com;
Cragganmore;Highlands;Speyside;UDV (Diageo);Cragganmore 1993 Cask 1910 Duncan Taylor 59,8%;72;M. J. 2010;Ballindaloch, Banffshire, AB37 9AB;0044/1479-87 47 00 0;www.discovering-distilleries.com;
Cragganmore;Highlands;Speyside;UDV (Diageo);Cragganmore 15-yea-old Duthies 46%;86;M. J. 2010;Ballindaloch, Banffshire, AB37 9AB;0044/1479-87 47 00 0;www.discovering-distilleries.com;
Craigellachie;Highlands;Speyside;United Distillers;Craigellachie 14-year-old 43% Flora und Fauna;75;M.J. 1994;Craigellachie, Banffshire, AB38 9ST;0044/13 40-88 12 12;;
Craigellachie;Highlands;Speyside;United Distillers;Craigellachie 1974 40% Gordon MacPhail;73;M.J. 1994;Craigellachie, Banffshire, AB38 9ST;0044/13 40-88 12 12;;
Craigellachie;Highlands;Speyside;United Distillers;Craigellachie 26-year-old 46% Cadenhead;72;M.J. 1994;Craigellachie, Banffshire, AB38 9ST;0044/13 40-88 12 12;;
Craigellachie;Highlands;Speyside;Dewars;Craigellachie 13-year-old 59,2% Adelphi;75;M. J. 1999;Craigellachie, Banffshire, AB38 9ST;0044/13 40-88 12 12;;
Craigellachie;Highlands;Speyside;Dewars;Craigellachie 1982 62,7% Scott`s Selection;76;M. J. 1999;Craigellachie, Banffshire, AB38 9ST;0044/13 40-88 12 12;;
Craigellachie;Highlands;Speyside;Dewars;Craigellachie 1982 Gordon & MacPhail;78;M. J. 1999;Craigellachie, Banffshire, AB38 9ST;0044/13 40-88 12 12;;
